رقم_المشارك,الاختصاص_المهني,عدد_سنوات_الخبرة,جهة_العمل,Q4_الخيار_العلاجي_الأول,Q5_أهمية_المرطبات,Q6_العائق_الأكثر_شيوعا,Q7_حالة_طفيلية,Q8_المظاهر_السريرية,Q9_التدبير_للحالات_المترافقة,Q10_تضمين_منتجات_طبيعية,Q11_ثقة_بالمنتجات_الطبيعية,Q12_معرفة_العكبر,Q13_تقييم_شمع_العسل,Q14_فعالية_المنتجات_الطبيعية,Q15_الموافقة_على_المرهم,Q16_العامل_الأهم,Q17_مخاوف_العكبر,Q18_الاستعداد_لتجربة,Q19_العامل_التشجيعي,Q20_مع_الكورتيكوستيرويدات,Q21_ملاحظات,درجة_المعرفة_%,درجة_الممارسة_%,فجوة_المعرفة_الممارسة,يفضل_طبيعي_على_الستيرويد,يستخدم_منتجات_طبيعية_حاليا,يوصي_بمنتجات_طبيعية_روتينيا
1,صيدلي,3-10 سنوات,صيدلية,مرطب علاجي,5,ضعف الالتزام,لا,جفاف شديد,كورتيكوستيرويد,أبداً,4,متوسطة,فعال جداً,غير فعالة,1,الفعالية المضادة للالتهاب,عدم ثبات,3,دراسات سريرية,ربما,,95.0,16.9,78.1,نعم,نعم,لا
2,ممرض,أقل من 3 سنوات,صيدلية,كورتيكوستيرويد موضعي,5,ضعف الالتزام,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,نادراً,2,متوسطة,فعال,متوسطة,2,دعم الحاجز الجلدي,احتمال التحسس,4,فعالية مثبتة,نعم,منتج طبيعي واعد للحالات المزمنة,60.0,56.6,3.4,لا,لا,لا
3,طبيب جلدية,أقل من 3 سنوات,مستشفى,مرطب علاجي,5,أخرى,نعم,حكة شديدة ليلية,مضاد هيستامين,نادراً,4,متوسطة,فعال,فعالة,2,الأمان العالي,احتمال التحسس,2,دراسات سريرية,ربما,يحتاج إلى دراسات سريرية أكثر,71.5,46.1,25.4,نعم,لا,لا
4,طالب,أقل من 3 سنوات,صيدلية,مرطب علاجي,4,الخوف من الستيرويدات,نعم,حكة شديدة ليلية,مضاد هيستامين,نادراً,2,متوسطة,متوسط,محدودة,5,خبرة سابقة,عدم ثبات,2,تكلفة,لا,أفضل كعلاج مساعد,95.0,40.1,54.9,لا,لا,نعم
5,صيدلي,3-10 سنوات,مركز صحي,مرطب علاجي,5,الخوف من الستيرويدات,نعم,آفات في ثنيات,كورتيكوستيرويد,دائماً/غالباً,4,جيدة جداً,فعال,فعالة,4,دعم الحاجز الجلدي,نقص الأدلة,1,ملف أمان,ربما,,64.3,31.5,32.8,نعم,نعم,لا
6,طالب,3-10 سنوات,أخرى,مرطب علاجي,5,ضعف الالتزام,لا,آفات في ثنيات,مضاد هيستامين,دائماً/غالباً,2,متوسطة,متوسط,فعالة,3,الفعالية المضادة للالتهاب,عدم ثبات,4,فعالية مثبتة,نعم,فعال في حالات خفيفة,86.7,34.6,52.1,لا,لا,لا
7,طبيب جلدية,أكثر من 10 سنوات,عيادة خاصة,كورتيكوستيرويد موضعي,4,الخوف من الستيرويدات,نعم,حكة شديدة ليلية,كورتيكوستيرويد,نادراً,3,متوسطة,لا أعرف,فعالة جداً,5,خبرة سابقة,احتمال التحسس,2,توصيات,ربما,فعال في حالات خفيفة,79.8,52.6,27.2,لا,لا,لا
8,طبيب جلدية,أقل من 3 سنوات,صيدلية,كورتيكوستيرويد موضعي,5,ضعف الالتزام,لا,التهاب ثانوي,علاج الطفيلي أولاً,نادراً,2,محدودة,فعال جداً,متوسطة,4,أخرى,نقص الأدلة,4,فعالية مثبتة,ربما,أفضل كعلاج مساعد,81.6,40.4,41.2,نعم,نعم,لا
9,ممرض,3-10 سنوات,مستشفى,مرطب علاجي,4,التكلفة,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أحياناً,4,متوسطة,متوسط,متوسطة,1,الأمان العالي,نقص الأدلة,3,تكلفة,ربما,منتج طبيعي واعد للحالات المزمنة,69.0,34.2,34.8,نعم,نعم,لا
10,طبيب جلدية,أقل من 3 سنوات,مستشفى,أخرى,5,التكلفة,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,أبداً,2,جيدة جداً,فعال,فعالة,4,الفعالية المضادة للالتهاب,نقص الأدلة,4,ملف أمان,ربما,أفضل كعلاج مساعد,68.6,50.5,18.1,نعم,لا,لا
