participant_id	informed_consent	age_group	sex	education_level	occupation	marital_status	residence	health_insurance	k1_ad_definition	k2_ad_symptoms	k3_ad_chronic_nature	k4_firstline_treatment	k5_tcs_safety	k6_propolis_definition	k7_propolis_traditional_use	k8_scabies_definition	k9_scabies_symptoms	k10_scabies_eczema_confusion	k11_self_treatment_risk	k12_doctor_visit_timing	a1_eczema_hygiene_cause	a2_eczema_chronic_management	a3_tcs_benefit_caution	a4_tcs_side_effect_fear	a5_natural_always_safe	a6_propolis_tcs_alternative	a7_propolis_if_evidence	a8_pharmacist_sufficient	a9_home_treatment_acceptable	a10_scabies_tcs_treatment	a11_self_diagnosis_acceptable	a12_advice_before_treatment	p1_first_step_skin_symptoms	p2_tcs_used_for_eczema	p3_tcs_usage_compliance	p4_natural_treatments_used	p5_propolis_ointment_try	p6_natural_treatment_motivators	p7_nocturnal_itching_burrows	p8_scabies_symptoms_action	p9_self_treatment_without_diagnosis	p10_dermatologist_visits_annual	p11_bee_product_allergy	p12_health_information_source	
PUB_001	نعم أوافق	18–30	ذكر	دراسات عليا (ماجستير/دكتوراه)	طالب	أعزب/عزباء	مدينة	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	لا أعرف	آمن عند الاستخدام الصحيح لفترات محددة	مادة طبيعية	التهابات الجلد والجروح	عدوى بكتيرية	حكة ليلية شديدة وخطوط في الجلد	لا أعرف	لا أعرف	فوراً لتحديد التشخيص الصحيح	محايد (3)	أوافق (4)	محايد (3)	محايد (3)	أوافق (4)	أوافق (4)	أوافق (4)	محايد (3)	لا أوافق (2)	محايد (3)	أوافق (4)	أوافق (4)	أتوجه للصيدلية لشراء علاج	لا أتذكر	حسب تعليمات الطبيب تماماً	نعم، مع الأدوية	نعم، إذا نصح به طبيب/صيدلي	نصيحة طبيب/صيدلي	لا	زرت طبيباً للتشخيص	نادراً	3–5	غير متأكد	الأطباء	
PUB_002	نعم أوافق	18–30	أنثى	جامعي (بكالوريوس)	طالب	أعزب/عزباء	ريف/قرية	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	مرطبات الجلد	آمن عند الاستخدام الصحيح لفترات محددة	مادة طبيعية	التهابات الجلد والجروح	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	لا أوافق بشدة (1)	أوافق (4)	أوافق (4)	محايد (3)	أوافق (4)	أوافق (4)	أوافق (4)	محايد (3)	محايد (3)	لا أوافق (2)	أوافق (4)	لا أوافق (2)	أزور طبيب/أخصائي جلدية	نعم، لكن بحذر	حسب تعليمات الطبيب تماماً	نعم، كبديل للأدوية	ربما، إذا رأيت تجارب ناجحة	الأمان وعدم وجود كورتيزون, نصيحة طبيب/صيدلي, تجارب ناس ناجحة, وجود دراسات علمية تدعمه	لا	لم يحدث لي ذلك	نادراً	1–2	لا	الأطباء, الصيادلة	
PUB_003	نعم أوافق	18–30	أنثى	جامعي (بكالوريوس)	طالب	أعزب/عزباء	مدينة	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	المضادات الحيوية أو مضادات الالتهاب	آمن عند الاستخدام الصحيح لفترات محددة	مادة طبيعية	التهابات الجلد والجروح	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	لا أوافق بشدة (1)	أوافق (4)	أوافق (4)	أوافق (4)	محايد (3)	محايد (3)	أوافق (4)	أوافق (4)	لا أوافق (2)	محايد (3)	محايد (3)	أوافق (4)	أستخدم مرطب/كريم متاح	نعم، لكن بحذر	حسب تعليمات الطبيب تماماً	نعم، كبديل للأدوية	نعم، فوراً	نصيحة طبيب/صيدلي	لا	زرت طبيباً للتشخيص	نعم، مراراً	0	لا	الصيادلة	
PUB_004	نعم أوافق	18–30	أنثى	جامعي (بكالوريوس)	موظف خاص	أعزب/عزباء	مدينة	لا	حالة حادة مؤقتة	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	مرطبات الجلد	لا أعرف	لا أعرف	لا اعرف	عدوى بكتيرية	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	تسريع الشفاء	فوراً لتحديد التشخيص الصحيح	أوافق (4)	لا أوافق (2)	محايد (3)	أوافق (4)	محايد (3)	محايد (3)	محايد (3)	أوافق بشدة (5)	لا أوافق (2)	لا أوافق بشدة (1)	لا أوافق بشدة (1)	أوافق بشدة (5)	أستخدم مرطب/كريم متاح	لا	حسب تعليمات الطبيب تماماً	نعم، كبديل للأدوية	لا أعرف ما هو العكبر	نصيحة طبيب/صيدلي, تجارب ناس ناجحة, السعر المناسب	غير متأكد	لم يحدث لي ذلك	نعم، مراراً	1–2	لا	الأطباء, الصيادلة, الإنترنت/وسائل التواصل, الأهل/الأصدقاء	
PUB_005	نعم أوافق	46–60	أنثى	جامعي (بكالوريوس)	متقاعد	متزوج/ة	مدينة	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	لا أعرف	لا أعرف	مادة طبيعية	التهابات الجلد والجروح	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	لا أوافق (2)	أوافق (4)	أوافق (4)	أوافق (4)	أوافق بشدة (5)	أوافق بشدة (5)	أوافق بشدة (5)	أوافق (4)	أوافق (4)	أوافق (4)	محايد (3)	أوافق بشدة (5)	أتوجه للصيدلية لشراء علاج	لا	لا أستخدمه	لا	نعم، إذا نصح به طبيب/صيدلي	وجود دراسات علمية تدعمه	لا	لم يحدث لي ذلك	لا، أبداً	>5	لا	الصيادلة	
PUB_006	نعم أوافق	18–30	أنثى	ثانوي أو أقل	مهن حرة	متزوج/ة	مدينة	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	مرطبات الجلد	آمن عند الاستخدام الصحيح لفترات محددة	مادة طبيعية	لا اعرف	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	محايد (3)	أوافق (4)	محايد (3)	لا أوافق (2)	أوافق (4)	أوافق (4)	أوافق (4)	لا أوافق (2)	لا أوافق (2)	لا أوافق (2)	محايد (3)	محايد (3)	أزور طبيب/أخصائي جلدية	لا	حسب تعليمات الطبيب تماماً	لا	نعم، إذا نصح به طبيب/صيدلي	نصيحة طبيب/صيدلي	نعم	زرت طبيباً للتشخيص	نعم، أحياناً	1–2	لا	الإنترنت/وسائل التواصل	
PUB_007	نعم أوافق	18–30	أنثى	جامعي (بكالوريوس)	موظف خاص	أعزب/عزباء	ريف/قرية	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	الكورتيزون فوراً	آمن عند الاستخدام الصحيح لفترات محددة	لا أعرف	لا اعرف	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	لا، هما مختلفان تماماً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	لا أوافق بشدة (1)	أوافق بشدة (5)	أوافق بشدة (5)	أوافق (4)	محايد (3)	لا أوافق (2)	أوافق بشدة (5)	محايد (3)	لا أوافق بشدة (1)	لا أوافق بشدة (1)	لا أوافق (2)	أوافق بشدة (5)	أزور طبيب/أخصائي جلدية	لا	حسب تعليمات الطبيب تماماً	لا	نعم، إذا نصح به طبيب/صيدلي	نصيحة طبيب/صيدلي, وجود دراسات علمية تدعمه	لا	لم يحدث لي ذلك	لا، أبداً	0	غير متأكد	الأطباء, الصيادلة, الإنترنت/وسائل التواصل	
PUB_008	نعم أوافق	46–60	ذكر	جامعي (بكالوريوس)	مهن حرة	متزوج/ة	مدينة	لا	التهاب جلدي مزمن غير معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	المضادات الحيوية أو مضادات الالتهاب	لا أعرف	مادة طبيعية	التهابات الجلد والجروح	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	لا أعرف	فوراً لتحديد التشخيص الصحيح	أوافق بشدة (5)	أوافق (4)	أوافق (4)	محايد (3)	محايد (3)	أوافق (4)	محايد (3)	محايد (3)	أوافق (4)	أوافق (4)	أوافق (4)	أوافق (4)	أستخدم مرطب/كريم متاح	نعم، بانتظام	حسب تعليمات الطبيب تماماً	نعم، مع الأدوية	نعم، فوراً	نصيحة طبيب/صيدلي	نعم	استخدمت كريمات متاحة (كورتيزون/مضادات حيوية)	نعم، مراراً	>5	لا	الصيادلة	
PUB_009	نعم أوافق	18–30	أنثى	جامعي (بكالوريوس)	موظف خاص	أعزب/عزباء	مدينة	لا	مرض جلدي معدي	احمرار وحكة وجفاف	تكرار الانتكاسات والتحسن	مرطبات الجلد	آمن عند الاستخدام الصحيح لفترات محددة	مادة طبيعية	التهابات الجلد والجروح	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	نعم، قد يُشخّص أحدهما بالآخر خطأً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	لا أوافق بشدة (1)	أوافق بشدة (5)	أوافق بشدة (5)	محايد (3)	محايد (3)	أوافق (4)	أوافق (4)	محايد (3)	لا أوافق (2)	أوافق (4)	لا أوافق بشدة (1)	أوافق بشدة (5)	أتوجه للصيدلية لشراء علاج	نعم، لكن بحذر	حسب تعليمات الطبيب تماماً	نعم، مع الأدوية	نعم، إذا نصح به طبيب/صيدلي	الأمان وعدم وجود كورتيزون, نصيحة طبيب/صيدلي, وجود دراسات علمية تدعمه	لا	زرت طبيباً للتشخيص	نعم، أحياناً	0	لا	الأطباء, الصيادلة, الكتب/المجلات العلمية	
PUB_010	نعم أوافق	<18	أنثى	جامعي (بكالوريوس)	مهن حرة	أعزب/عزباء	مدينة	لا	حالة حادة مؤقتة	لا أعرف	تكرار الانتكاسات والتحسن	المضادات الحيوية أو مضادات الالتهاب	آمن عند الاستخدام الصحيح لفترات محددة	مادة طبيعية	لا اعرف	طفيلي جلدي يسبب حكة شديدة	حكة ليلية شديدة وخطوط في الجلد	لا، هما مختلفان تماماً	تأخير العلاج الصحيح وتفاقم الحالة	فوراً لتحديد التشخيص الصحيح	لا أوافق (2)	أوافق (4)	أوافق (4)	محايد (3)	أوافق بشدة (5)	محايد (3)	أوافق (4)	أوافق (4)	محايد (3)	محايد (3)	محايد (3)	أوافق (4)	أتوجه للصيدلية لشراء علاج	لا	أتوقف عند التحسن	لا	نعم، إذا نصح به طبيب/صيدلي	نصيحة طبيب/صيدلي	لا	زرت طبيباً للتشخيص	لا، أبداً	0	غير متأكد	الأطباء	
